сделать маски с изображением популярных героев из массовой культуры,супергерой
набор для изготовления масок с использованием подходящих материалов,рисунок
сделать маски с принтами животных и супергероев и любимых героев из мультиков,супергерой
детская маска и конфетка или какой-нибудь подарок в наборе,вкус
герой мультика или даже супергерой начал носить маску,супергерой
Маски должны составлять коллекцию и изображать героев современных мультфильмов,супергерой
"маска  нос, усы и борода, представляющие собой маску на самом деле.",рисунок
"маска, на которую можно цеплять наклейки",рисунок
"маски с героями, разных цветов и тд.",супергерой
"маски, на которых можно рисовать.",рисунок
носить шлем вместо маски.,непонятно
маски с запахами.,вкус
"Съедобные макси, которые можно лизать изнутри, как леденец",вкус
для родителей и детей парные маски с супергероями или персонажами мультфильмов,супергерой
"маски с картинками изнутри, которые показываются, если на них подышать какое-то время",дыхание
"Пишем на маски персонажей, дети надевают и вилять только героев друг друга, начинают угадывать",супергерой
"Продавать маски сразу вместе с правилами новых игр, в которые можно играть во дворе",игра
дети сами маски разрисовывали и могли маской рассказать о своём настроении и состоянии,рисунок
Раскрасить их на разные темы с разными героями,супергерой
Чекиниться в масках в инстаграм и получать дополнительные лайки,поощрение
Паттерны на масках с любимыми героями,супергерой
Специальные серии мультиков где герои в масках,супергерой
"Ребёнок сам создаёт дизайн маски (рисунок на ней, цвет завязок).",рисунок
Одноразовые маски с сюрпризами внутри,технология
Маска меняет цвет при повышении температуры или на ней появляется рисунок или надпись-сюрприз,рисунок
Маски как хобби и коллекционирование:,коллекция
"Паки с масками - как альбом со стикерами, надо собрать все!",коллекция
Коллекционные тематические наборы масок на каждый день,коллекция
Сделать маску под персонажа мультика,супергерой
Нарисовать на ней зубы или клыки,рисунок
Протюнинговать маску,непонятно
Сделать её именной,дизайн
Напугать ребёнка,непонятно
надел маску - стал динозавром или суперменом,супергерой
"получать баллы за то, что носил маску в метро или магазине, и потом накопленные баллы менять на что-то интересное или веселое.",поощрение
"Придумать маске имя, носить как атрибут любимого образа мульт или киногероя.",супергерой
маска с запахом любимого вкуса...,вкус
"Маски супергероев,",супергерой
мордочки животных,рисунок
"Загадки на масках, чтобы все отгадывали",дизайн
"есть маски 1, 2, 3 уровня, можешь следующий уровень получить только выполнив ряд условий",коллекция
сделать маску частью костюма супергероя,супергерой
подсветка от дыхания,дыхание
съедобная маска из сладкой ваты,вкус
"На масках можно рисовать, а потом играть в угадай, кто ты?",игра
Специальные игровые маски с персонажами из мультиков,супергерой
Играть в спец агентов - надел маску - ты на спец задании,игра
"Сладкий запах маски, разные вкусы",вкус
Принты супергероев,супергерой
Нарисовать на них рожицы зверей или супергероев,супергерой
"Маски с животными, их любимыми героями;",супергерой
Маски в играх и пр,игра
Вкусный запах,вкус
"мордочки любимых героев, мультик где все в масках",супергерой
Маски с нарисованными любимыми героями,супергерой
Маски на всю голову,дизайн
Маска с соской,вкус
"Маска которая вкусно пахнет, как конфетки",вкус
Маска которую сам разукрасил,рисунок
Для детей лет 12-13 маска модных брендов,дизайн
"Маска съедобная, чтобы можно было облизывать изнутри",вкус
"загадка, как игра «кто я?», нужно через вопросы угадать, кто на тебе надет """,игра
"Маска-статус, набор масок с выбором эмоции/посыла, что ты хотел сказать",поощрение
"Что-то съедобное на обратной стороне маски, мороженое или конфета награда за то, что маску правда носили",вкус
маски с прикольными принтами,рисунок
маски которые пахнут шоколадом и другими вкусняшками,вкус
наборы где с маской идет например силиконовый браслет в цвет маски,дизайн
"Маска с леденцом, после рассасывания конфеты грызёшь пластиковую трубочку",вкус
"Маски под настроение. каждый раз выбираю эмоцию, которую ощущаю: ношу маску+изучаю эмоции",дизайн
"маска с таймером, активируемым дыханием",дыхание
"экраны дополненной реальности срабатывающие только, если ребенок в маске",технология
"Сделать маски с сегодняшним настроением или с какими-то рожицами: а ля зайчики, котики итд.",рисунок
"Пропитать маски каким-то приятным ароматом (конфетным или жвачным), чтобы перед носом всегда вкусно пахло.",вкус
"Придумать счетчик, который считает, сколько минут маска была на лице и систему поощрения.",поощрение
"Придумать и поставить по городу экраны или датчики, которые считывают твою маску и потом премируют за ее ношение.",технология
Дать каждому разработать свой дизайн для себя или всей семьи.,рисунок
Сделать маски с мордами животных или любимых героев,супергерой
Маска как у мамы и папы,дизайн
"Показать , какой страшный вирус и как он может заползти через рот или нос внутрь",непонятно
Пусть ребёнок сам разукрасит маску,рисунок
Сделать маски с разными классными надписями или заклинаниями которые дают суперсилу,супергерой
"Показать детям, что это стильно - выпустить ролик с лидером мнений",непонятно
"показать все опасности не ношения маски - заболевшие родители, бабушки/дедушки...",непонятно
конкурс на ношение масок,поощрение
"выпустить маски с принтами с названием игр, популярными блогерами в тикток и т.д.",дизайн
"Принты из мультфильмов, смешные надписи.",дизайн
Сделать комиксы из масок - серии.,непонятно
На масках нарисовать известных детских героев.,супергерой
В мультиках героям одевать маски - через подражание.,супергерой
"На масках писать регалии - самый смелый, самый ловкий, чтобы дети хотели носить маски и хвастаться.",поощрение
Маски супергероев,супергерой
"Сделать их с принтом супер героев,за ношение маски проверять ребенка,в форме игры молчанка",супергерой
"Я предлагаю сделать маски, раскрашенные под супергероев/ динозавров/трансформеров - для мальчиков.",супергерой
"к каждой маске выдавать ребенку аксессуар, игрушку или сладость",вкус
"маску на лице можно сделать модулем управления в игре, камера устройства фиксируется на маске и в зависимости от движения головы выполняются действия в игре",игра
"маски со встроенными наушниками и за счёт дыхания, его темпа, его активности получается собственная музыка",дыхание
поставить всем детям брекеты,непонятно
маски со встроенными сОсками для совсем маленьких,вкус
маски со встроенными конфетами без сахара,вкус
"маски с героями мультфильмов, фильмов, комиксов",супергерой
Создать уникальные маски с любимыми детскими героями,супергерой
"На стёклах магазинов, общественного транспорта и везде, где нужно носить маски, нарисовать элементы, которые будут дополнять медицинскую маску",дизайн
Известные герои,супергерой
Самому расписывать под настроение,рисунок
"Рисовать ребёнку на щеке какого-нибудь милого ему персонажа, которого нужно прикрывать ""одеялком"" маски или заботливо скрывать от посторонних глаз",супергерой
Дорисовывать маски всем персонажам популярных у детей компьютерных или мобильных игр.,супергерой
"Снять эпизод условных ""Маши и медведя"" про то, что нужно носить маски.",непонятно
"Маски супергерои халк, капитан Америка, богатырь Святогор, ниндзяго, сэйлор Мун, Марио",супергерой
Коллекционные маски.,коллекция
Маски конструктор,технология
Маски со вкусом и запахом,вкус
Маска где вместо клапана установлен модулятор голоса,технология
Меняющая цвета (маска хамелеон),технология
"Маска с конфеткой внутри, как соска",вкус
Дать детям раскрасить маски друг друга,рисунок
Сделать для ребёнка маски в форме зверей,супергерой
Сделать маски с разными запахами,вкус
"Играть с детьми, кто дольше в маске пробудет, тому какой-то приз вручать",игра
Делать маски в виде носов животных,рисунок
Дополненная реальность - другие наводят телефон и видят человека в дурном образе,технология
За ношение масок давать скидку в столовой,поощрение
Марафон - кто дольше всех проносит маску подучит что то,поощрение
Сделать мастер класс по созданию собственной маски,рисунок
Маски с автографами звёзд,дизайн
"Сделать так, чтобы тиктоки в масках получали большие охват",поощрение
Дети в масках на уроках получают на одно домашнее задание меньше,поощрение
Сделать игру в духе тамогочи - маска как домашнее животное,рисунок
"Делать селфи в масках и копить баллы, которые можно потом обменять на 1 день каникул",поощрение
"Делать маски в стиле рюкзаков, типа комплекта",дизайн
Сделать маску в виде части героя,супергерой
Отбавить какой-то дополнительный элемент,непонятно
Сделать маску частью игры с призом за долгое ношение маски,игра
"Маска, стилизованная под персонажей мультов и фильмов, игр ",супергерой
Маска с ароматом,вкус
Маска-шлем,непонятно
Маска-трансформер,непонятно
Маска часть костюма супергероя,супергерой
Семейная маска,дизайн
"персонализация в виде наклеек, аксессуаров как с кроксами",рисунок
"возможность рисовать: рисунки, Ники из соц сетей, принты и тд ",рисунок
"маски с персонажами поп культуры: комиксы, мультики",супергерой
"коллаборация: маска+очки, маска+наушники",дизайн
"шуточные: маска с бородой для мальчиков, маска с Мейкон для девочек и тд",дизайн
Сделать ношение масок заданием супергероев,супергерой
набор масок супергероя на 7 дней ,супергерой
придумывать разные задания на каждый день. ,непонятно
"сделать маски яркими, с разными рисунками животных",рисунок
сделать маску которая бы меняла рисунок в зависимости от времени суток,рисунок
Сделать маски ярких цветов ,дизайн
Нарисовать на них героев из мультиков ,супергерой
Провести простую и понятную лекцию для детей что бы дать им понять зачем им нужны маски ,поощрение
Показать бактерии которые возможно избежать с помощью маски,технология
интересные маски с мульт героями вы завлекает малыша тем самым носить их,супергерой
"рассказав историю, что маска это наш щит от бактерий вы объясняете ее пользу и обещаете маленькому человеку вознаграждение",поощрение
применением маски в положенных местах - это как соревнование,поощрение
ыпустить серию масок с мульт героями,супергерой
"Интегрировать маски в Компьютерные игры, популярные у детей",игра
в мультиках главные герои чтобы начали носить маски,супергерой
"в целом в любой контент, который потребляют активно дети, нужно внедрить главным героям маски.",супергерой
"например сколько дней у тебя эта маска, или твоя Инстаграм визитка/тикток + твой логотип, который ты можешь придумать в программе с шаблонами, чтобы показать, что это именно твоя маска. ",дизайн
Возможно маска из какой то ткани под особый лук? ,дизайн
"Надо сделать так, чтобы маска не казалось чужеродным элементом, а наоборот, дополняла стиль",дизайн
"Или пойти вообще с другой стороны: придумать челендж или тему, которая будет использовать маску, например надевать маску на какие то странные предметы, или надевать ее не, как надо",дизайн
Маски с изображениями любимых супергероев/смешариков ,супергерой
Маска в форме чего-то: огромный нос птицы,супергерой
" Рекламная кампания на ТВ детском, где вообще все в масках",непонятно
"Маска, синхронизирующаяся с приложением: шевелишь бровями/маской/губами для игры, убегаешь/спасаешь, получаешь баллы, меняешь их на что-то прикольное",поощрение
Маски с разными запахами ,вкус
"Необычный способ получения масок: стреляющий пистолет с масками, скатываешься с горки — на тебя налетает маска ",технология
Маска-соска с леденцом,вкус
"Нужно в мультфильмах добавить супергероев с масками, сделпть это модным",супергерой
Сделать специальные детские маски с картинками,рисунок
С обратной стороны маски добавить какую то конфету типа чупачупча,вкус
Маски с запахом жвачки,вкус
"Маску на которой можно нарисовать или написать что то перед тем, как надеть",рисунок
"Маска, которая закрывает все лицо и выглядит как персонаж, популярный среди детей",супергерой
пропитать вкусным вкусом/запахом,вкус
встроенная соска,вкус
"надо сделать пропитку с разными приятными ароматом: жвачка, фрукты, выпечка",вкус
маски с любимыми героями,супергерой
"коллекции тематических масок, когда надо собрать всю коллекцию",коллекция
"маски, меняющие вид спустя сколько-то времени ношения",технология
маски со смайликами-эмоциями,рисунок
Сделать маски с рисунками любимых персонажей,рисунок
"Придумать игру-интерактив, или мастеркласс, где будет показан мультфильм в стиле Валли",игра
Придумать нового супергероя «Маскамен» и запустить с ним сериал,супергерой
должны быть красивые и смешные с лицами супергероев,супергерой
чупачупс внутри!,вкус
любимые герои детей в мультиках и тп должны быть в масках ,супергерой
Маски супергероев;,супергерой
"Маски с ртами и зубами животных - акулий оскал, львиный зев;",рисунок
"Кастомизируемые маски, чтобы ребёнок мог разукрасить маску себе и маме по своему вкусу;",рисунок
"Маски, которые пищат, когда не надеты;",технология
